Florence,Mary,Florence,Mary,Mary,Mary,Mary,Florence,Florence,Florence,Mary,,Mary,Florence,Florence,,Marion,Chantal,Marion,,,,,,Mary,Amos,,,Mary,Mary,Florence,,Mary,Mary,,Mary,Mary
Style No.,Image,Style Name,Type,Status,Category,Sub Category,Adoption Date,Florence,EDD - Sample,Target Order Week,Target Launch Week,Actual Order Date,Sample Approval Date,Sample Approval Week,CAD Transfer Date,Tech Pack/Requisition Date,Set Sample Mini Marker,Set Sample Order Date,Set Sample Receipt Date,Set Sample Approval Date,Set Sample Approval Week,Date Transferred to Buying,Actual Order Week,Planned Launch Week,Actual Launch Date,Theme,Collection Name,Fabric Type,P / S,Brand,,Fabric Name,Sample Colour,,S/S Approval,Exp Order Date
V0526001,,Vivo Short Sleeve Midi Dress in Cotton,NEW,SAMPLE REVIEW,Dresses,Midi & Capri Dresses,29-Apr-2026,Mercy,,WK 37,WK 40,,,,,,,,,,,,,,,Casual,Vivo,Light Cotton Poplin,Solid,Vivo  ,,YIYI Y933 Light Cotton Poplin,Navy,,,
V0826005,,Vivo Side Pleat Top in Jersey,NEW,BUYING REQUISITION S/S,Tops,Fitted Tops,6-Aug-2026,Mercy,,WK 38,WK 41,,27-Aug-2026,WK 35,,1-Sep-2026,,,,,,,,,,,,Medium Rayon Jersey,,Vivo,,REEYON LY470A Medium Rayon Jersey,,,,
V0626026,,Vivo Sleeveless Coat in Ponte,RR,SAMPLE REVIEW,Outerwear,Jackets & Coats,,,,,,,,,,,,,,,,,,,,,,,,Vivo,,????,,,,
V0826008,,Vivo Sleeveless Front Pleat Maxi Dress in Dobby,NEW,WAITING FOR FABRIC,Dresses,Maxi Dresses,6-Aug-2026,Mercy,,WK 38,WK 41,,18-Aug-2026,WK ,,,,,,,,,,,,,Vivo,Light Rayon Twill,,Vivo,,YIQI 1130  Light Rayon Twill,,,,
V0526060,,Vivo Sleeveless Lined Blazer in Kitenge,RR,SAMPLE REVIEW,Outerwear,Jackets & Coats,10-Mar-2026,Florence,WK 15,,,,,,,,,,,,,,,,,,,Kitenge,Solid,Vivo  ,,Kitenge,Eastleigh Kitenge,,,
V0626048,,Vivo Sleeveless Pleat Neck Jacket in Crepe,NEW,APPROVED FOR S/S,Outerwear,Jackets & Coats,22-Jun- 2026,Wanjohi,,WK 38,WK 41,,27-Aug-2026,WK 35,28-Aug-2026,,,,,1-Sep-2026,1-Sep-2026,,,,,,Vivo,Medium Crepe,Solid,Vivo,,YIHAO 681112 Light Polyester Crepe,Eastleigh Kitenge,,,
V0826047,,Vivo Sleeveless T-Shirt in Jersey (ETSY),NEW,PATTERN,Tops,T-shirts & Tank Tops,25-Aug-2026,Mercy,,WK 40,WK 43,,,,,,,,,,,,,,,,,,Solid,Vivo  ,,Shunwang 3019,,,,
V0626050,,Vivo Sleeveless Tent Jacket in Crepe,NEW,SAMPLE REVIEW,Outerwear,Jackets & Coats,22-Jun- 2026,Wanjohi,,WK 38,WK 41,,,,,,,,,,,,,,,Casual,Vivo,Heavy Crepe ,Solid,Vivo,,YAT TAJ HONG CA13550 Medium Polyester Crepe,,,,
V0826043,,Vivo Sleeveless Top Pattern in Cotton (ETSY),NEW,PATTERN,Tops,Fitted Tops,25-Aug-2026,Victoria,,WK 41,WK 44,,,,,,,,,,,,,,,,,,Solid,Vivo  ,,Sample in Tanzania Kitenge,,,,
V0826039,,Vivo Sleeveless Waistcoat in Cotton Denim (ETSY),NEW,PATTERN,Outerwear,Jackets & Coats,25-Aug-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,,,,Vivo  ,,SHUNYUAN H407 Medium Cotton Denim,,,,
V0826007,,Vivo Sleeveless Waterfall in Crepe,NEW,SAMPLE REVIEW,Outerwear,Waterfalls & Kimonos,6-Aug-2026,Wanjohi,,WK 38,WK 41,,,,,,,,,,,,,,,,,,,Vivo,,Showme 18206,,,,
V0726004,,Vivo Straight Leg Pants in Crepe (NEW),NEW,PATTERN,Bottoms,Full Length Pants,7-Jul-2026,Wanjohi,,WK 40,WK 43,,,,,,,,,,,,,,,,Vivo,Medium Polyester Crepe,Solid,Vivo  ,,YAT TAJ HONG CA13550 Medium Polyester Crepe,,,,
