kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,342282,Vivo Ava 3/4 Sleeve Tent Shirt Dress in Crepe  - FS,V1225001,Vivo Ava 3/4 Sleeve Tent Shirt Dress in Crepe
recoverable,342302,Vivo Ava Front Pleat Knee Length Dress  - FS,V1124142,Vivo Ava Front Pleat Knee Length Dress
recoverable,109634,Vivo Ava Front Pleat Knee Length Dress - Peach / White Print,V1124142,Vivo Ava Front Pleat Knee Length Dress
recoverable,109640,Vivo Ava Front Pleat Maxi Dress - Black / Rust Print,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109645,Vivo Ava Front Pleat Maxi Dress - Brown,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109647,Vivo Ava Front Pleat Maxi Dress - Brown / Black Print,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109654,Vivo Ava Front Pleat Maxi Dress - Grey / Rust Print,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109657,Vivo Ava Front Pleat Maxi Dress - Navy / Mustard Ama Print,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109662,Vivo Ava Front Pleat Maxi Dress - Orange / Black Ala Print,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,109668,Vivo Ava Front Pleat Maxi Dress - Red,V0923049,Vivo Ava Front Pleat Maxi Dress
recoverable,342399,Vivo Ava Shirt Collar Tunic Top  - FS,V0923089,Vivo Ava Shirt Collar Tunic Top
recoverable,109713,Vivo Ava Tent Flounce Maxi Dress - Beige / White Print,V0923047,Vivo Ava Tent Flounce Maxi Dress
recoverable,109731,Vivo Ava Tent Knee Length Dress - Grey / Black Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109733,Vivo Ava Tent Knee Length Dress - Hunters Green / Cream Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109734,Vivo Ava Tent Knee Length Dress - Lilac / Lime Abasi Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109735,Vivo Ava Tent Knee Length Dress - Lime / Yellow Abasi Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109740,Vivo Ava Tent Knee Length Dress - Orange / Lilac Abasi Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109741,Vivo Ava Tent Knee Length Dress - Pink / Hunters Green Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109743,Vivo Ava Tent Knee Length Dress - Purple / Black Nurra Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109744,Vivo Ava Tent Knee Length Dress - Purple / Black Savi Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109747,Vivo Ava Tent Knee Length Dress - White / Pink Abasi Print,V1023154,Vivo Ava Tent Knee Length Dress
recoverable,109755,Vivo Ava Tent Maxi Dress - Cream / Orange Print,V0923046,Vivo Ava Tent Maxi Dress
recoverable,109757,Vivo Ava Tent Maxi Dress - Mustard / Black Jilo Print,V0923046,Vivo Ava Tent Maxi Dress
recoverable,109759,Vivo Ava Tent Maxi Dress - Orange / Off White Print,V0923046,Vivo Ava Tent Maxi Dress
recoverable,342617,Vivo Ayah 3/4 Sleeve Jumpsuit  - FS,V0225007,Vivo Ayah 3/4 Sleeve Jumpsuit
recoverable,109774,Vivo Ayah Bishop Sleeve Mock Neck Top - Purple,V0225002,Vivo Ayah Bishop Sleeve Mock Neck Top
recoverable,109794,Vivo Ayah Kimono - Lilac / Black Tullu Print,V0225030,Vivo Ayah Kimono
recoverable,342615,Vivo Ayah Shirred Cuff Loose Top  - FS,V0225032,Vivo Ayah Shirred Cuff Loose Top
recoverable,109828,Vivo Ayana Cap Sleeve High Low Tent Dress - Green Print,V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress
recoverable,109829,Vivo Ayana Cap Sleeve High Low Tent Dress - Mustard / Navy Print,V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress
recoverable,109830,Vivo Ayana Cap Sleeve High Low Tent Dress - Mustard Print,V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress
recoverable,109831,Vivo Ayana Cap Sleeve High Low Tent Dress - Navy / Brown Yana Print,V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress
recoverable,109833,Vivo Ayana Cap Sleeve High Low Tent Dress - Rust / Hunters Print,V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress
recoverable,109914,Vivo Ayla Crepe Pants - Light Dust Pink / Black Lala Print,V1124074,Vivo Ayla Crepe Pants
recoverable,109916,Vivo Ayla Crepe Pants - Mustard / Black Lala Print,V1124074,Vivo Ayla Crepe Pants
recoverable,109917,Vivo Ayla Crepe Pants - Navy / Burgundy Hali Print,V1124074,Vivo Ayla Crepe Pants
recoverable,109925,Vivo Ayla Loose Top - Caramel,V0824098,Vivo Ayla Loose Top
recoverable,109927,Vivo Ayla Loose Top - Rust,V0824098,Vivo Ayla Loose Top
recoverable,109963,Vivo Ayla Off-Shoulder Dress - Blush Pink/ Black Meti Print,V0824103,Vivo Ayla Off-Shoulder Dress
recoverable,109964,Vivo Ayla Off-Shoulder Dress - Cream / Black Meti Print,V0824103,Vivo Ayla Off-Shoulder Dress
recoverable,109973,Vivo Ayla Off-Shoulder Jumpsuit - Light Taupe / Black Lala Print,V0824108,Vivo Ayla Off-Shoulder Jumpsuit
recoverable,109976,Vivo Ayla Off-Shoulder Jumpsuit -Black / Taupe Umbo Print,V0824108,Vivo Ayla Off-Shoulder Jumpsuit
recoverable,109987,Vivo Ayo Tent Dress - Green / White Print,V0120094,Vivo Ayo Tent Dress
recoverable,109988,Vivo Ayo Tent Dress - Mint Green / Black Print,V0120094,Vivo Ayo Tent Dress
recoverable,110000,Vivo Ayo Tent Dress - White / Taupe Print,V0120094,Vivo Ayo Tent Dress
recoverable,110001,Vivo Ayo Tent Dress - Yellow / Black Print,V0120094,Vivo Ayo Tent Dress
recoverable,110013,Vivo Azawi Cap Sleeve Panelled Dress - Black / White,V0324075,Vivo Azawi Cap Sleeve Panelled Dress
recoverable,110016,Vivo Azawi Pencil Skirt - Black / White,V0324076,Vivo Azawi Pencil Skirt
recoverable,110043,Vivo Bana Batwing Top - Burgundy,V0423006,
