product_name,barcode,sku,price,retired_qty
Vivo Basic Sleeveless Long Lily Waterfall - Yellow,50000056,V0719839YELL/XL,1650,2
Vivo Basic Sleeveless Midi Jersey Waterfall - Deep Teal,60025521,V1122192DTEAS/M,1650,2
Vivo Basic Sleeveless Midi Jersey Waterfall - Navy Blue,60026504,V1122192NABXS/S,2000,2
Vivo Basic Sleeveless Sienna Waterfall - Teal,60031673,V0321017TEAL,2250,2
Vivo Basic Spaghetti Strap Tank Top - Hunters Green,60032500,V0623033HGN3X,450,2
Vivo Basic Spaghetti Strap Tank Top - Navy Blue,60032503,V0623033NAB2X,550,2
Vivo Basic Strappy Cowl Top - Champagne,60053218,V0325044CHA1X,2550,2
Vivo Basic Tolani Dress in Jersey - Fuschia,60065241,V0920021FUSS,4900,2
Vivo Basic Tolani Dress in Jersey - Mulberry,60065236,V0920021MULS,4900,2
Vivo Basic Tolani Dress in Jersey - Olive,60065251,V0920021OLIS,4900,2
Vivo Basic Tolani Jersey Dress - Hunters Green,60027344,V0920021HGNL,2450,2
Vivo Basic Tsavo Scalloped Chiffon Top - Black,60048848,V0422058BLAM,2750,2
Vivo Basic V-Neck Long Sleeve Top - Navy Blue,60033267,V0423052NAB4X,750,2
Vivo Basic V-neck Cap Sleeve Top - Buttermilk,60023456,V0323019BUT3X,1250,2
Vivo Basic V-neck Cap Sleeve Top - Hunters Green,60032166,V0323019HGN4X,450,2
Vivo Beali Shorts - Tan / Navy Lea Print,60048504,V1024032PR1XS,1850,2
Vivo Beali Two Way Wrap Top - Cream / Taupe Lea Print,60048507,V1024043PR3XS,1550,2
Vivo Boat Neck Dress in Ponte - Olive,60065654,V0126025OLIL,4500,2
Vivo Boat Neck Top in Scuba - Black,60065751,V0126024BLA1X,2900,2
Vivo Boat Neck Top in Scuba - Black,60065750,V0126024BLAL,2900,2
Vivo Boat Neck Top in Scuba - Burgundy,60065746,V0126024BUR1X,2900,2
Vivo Boat Neck Top in Scuba - Burgundy,60065744,V0126024BURM,2900,2
Vivo Boat Neck Top in Scuba - Lilac,60065764,V0126024LILM,2900,2
Vivo Boat Neck Top in Scuba - Lime Green,60065759,V0126024LGRM,2900,2
Vivo Boat Neck Top in Scuba - Red,60065754,V0126024REDM,2900,2
Vivo Button Up Shirt in Chiffon - Light Blue,60065367,V0126009LBLUL,4500,2
Vivo Button Up Shirt in Chiffon - Light Blue,60065366,V0126009LBLUM,4500,2
Vivo Button Up Shirt in Chiffon - Navy,60065371,V0126009NAVM,4500,2
Vivo Chela Basic Cap Sleeve Top - Lilac,60052243,V0325019LILL,2250,2
Vivo Chela Basic Cap Sleeve Top - Royal Blue,60052259,V0325019RBLUL,1850,2
Vivo Chela Basic Cap Sleeve Top - Sage,60052264,V0325019SAGL,2250,2
Vivo Chela Basic Cap Sleeve Top - Sage,60052263,V0325019SAGM,2250,2
Vivo Chela Basic Cap Sleeve Top - Sage,60052262,V0325019SAGS,2250,2
Vivo Chela Tank Top in Stretch Rib - Buttermilk,60052233,V0225026BUTM,1500,2
Vivo Chela Tank Top in Stretch Rib - Buttermilk,60052232,V0225026BUTS,1500,2
Vivo Chela Tank Top in Stretch Rib - Lilac,60057228,V0225026LIL1X,1500,2
Vivo Chela Tank Top in Stretch Rib - Lilac,60057225,V0225026LILS,1500,2
Vivo Chesi Wide Leg Pants - Mint / Hunters Green Hesi Print,60039089,V0424124PR1M,4550,2
Vivo Chiffon Wide Kimono - Peach / White Print,60045876,V0424168PR5F,1950,2
