Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
V0225003,Vivo Ayah Drawstring Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,4900.0,0,7.0,2.0,13,22
S0425036,Shiv & Shikie X Safari Drawstring Shorts,Third Party Brands,Bottoms,Men's Bottoms,Retired,3400.0,3400.0,5.0,0,7.0,10,22
Z0125028,Zoya Sadira Mens' Chino Shorts,Zoya,Bottoms,Men's Bottoms,Retired,1750.0,850.0,0,0,7.0,15,22
V0825019,Vivo Nora Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,1950.0,4.0,0,14.0,4,22
S1125033,Safari by Vivo Zehra Kitenge Shorts,Safari,Bottoms,Shorts & Skorts,Retired,2800.0,2800.0,6.0,0,10.0,6,22
S0525005,Shiv & Shikie X Safari Faux Collar Printed Shirt,Third Party Brands,Tops,Midriff & Crop Tops,Retired,2800.0,2800.0,2.0,14.0,0,5,21
S0824054,Safari Kitenge Men's Sweatshirt,Safari,Tops,Men's Tops,Retired,4250.0,4250.0,0,5.0,7.0,9,21
V0220007,Vivo Basic Double Layered Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,2900.0,11.0,0,1.0,9,21
V0625043,Vivo Iyana Bubble Midi Skirt,Vivo,Skirts,Midi & Capri Skirts,Retired,4900.0,4900.0,0,12.0,1,8,21
S0624022,Safari Savannah Men's Drawstring Shorts (Regular),Safari,Bottoms,Men's Bottoms,Retired,5550.0,1650.0,4.0,2.0,12.0,3,21
V0325019,Vivo Chela Basic Cap Sleeve Top,Vivo,Tops,Midriff & Crop Tops,Retired,2250.0,2250.0,0,5.0,1,15,21
V0225011,Vivo Niari straight leg Pants,Vivo,Bottoms,Full Length Pants,Retired,3950.0,3950.0,3.0,10.0,0,8,21
S0925061,Safari By Vivo Mens Cotton Pants,Safari,Bottoms,Men's Bottoms,Retired,4800.0,4800.0,2.0,6.0,5.0,8,21
S1024007,Safari Chui Cropped Jacket,Safari,Outerwear,Jackets & Coats,Retired,6250.0,6250.0,0,7.0,5.0,9,21
S0824055,Safari Kitenge Men's Sweat Pants,Safari,Bottoms,Men's Bottoms,Retired,4550.0,4550.0,1.0,3.0,5.0,12,21
V0424161,Vivo Sarong Skirt,Vivo,Skirts,Midi & Capri Skirts,Retired,3900.0,1550.0,4.0,1.0,14.0,1,20
Z0822082,Zoya Nia Off Shoulder Knee Length Dress,Zoya,Dresses,Knee Length Dresses,Retired,3550.0,3550.0,0,2.0,0,18,20
S0424041,Safari Men's Kitenge Drawstring Shorts,Safari,Bottoms,Men's Bottoms,Retired,3550.0,1800.0,1.0,2.0,4.0,13,20
S0424041,Safari Men's Kitenge Drawstring Shorts,Safari,Bottoms,Men's Bottoms,Retired,3550.0,2050.0,1.0,5.0,8.0,6,20
V0719112,Vivo Basic Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,2550.0,9.0,0,10.0,1,20
V0524005,Vivo X This Is Essential Ruched Bodysuit,Vivo,Tops,Bodysuits,Retired,4250.0,4250.0,0,18.0,0,2,20
S0925045,Safari Njano Men's Easy Fit Kitenge Pants,Safari,Bottoms,Men's Bottoms,Retired,4800.0,4800.0,1.0,8.0,3.0,8,20
S0224181,Safari Kamari Long Sleeve Drawstring Shacket,Safari,Outerwear,Jackets & Coats,Retired,5550.0,5550.0,0,11.0,0,8,19
V0719113,Vivo Basic Long Sleeved Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2535.0,1750.0,1.0,6.0,0,11,19
S0424039,Safari Men's Chinese Collar Long Sleeve Shirt,Safari,Tops,Men's Tops,Retired,5250.0,1150.0,1.0,8.0,6.0,4,19
V0623013,Vivo Zahari Sweatheart Neck Jumpsuit,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,6750.0,2450.0,0,8.0,7.0,3,18
V0224125,Vivo Nala Shirt Dress,Vivo,Dresses,Knee Length Dresses,Retired,5750.0,5750.0,2.0,8.0,0,8,18
V0822077,Vivo Tana Puff Sleeve Bodysuit,Vivo,Tops,Bodysuits,Retired,2700.0,2700.0,2.0,2.0,11.0,3,18
Z0821148,Zoya Essentials Mini Bodycon,Zoya,Dresses,Short & Mini Dresses,Retired,2750.0,2750.0,1.0,7.0,1.0,8,17
S0525069,Safari Tara Bishop Sleeve Dress,Safari,Dresses,Knee Length Dresses,Retired,6400.0,6400.0,0,6.0,0,11,17
V1022057,Vivo Basic Maternity Leggings,Vivo,Bottoms,Full Length Pants,Retired,2750.0,2750.0,1.0,8.0,6.0,2,17
V0525076,Vivo Diella V-Neck Jumpsuit,Vivo,Bottoms,Jumpsuits & Playsuits,Retired,5900.0,2350.0,4.0,3.0,4.0,6,17
V0924049,Vivo Hari Flared Sleeve Tunic,Vivo,Tops,Fitted Tops,Retired,3950.0,1550.0,0,5.0,7.0,5,17
S0424047,Safari Men's Cargo Pants,Safari,Bottoms,Men's Bottoms,Retired,5950.0,1750.0,1.0,9.0,4.0,3,17
S1124152,Safari Sizani Men's Kitenge Placket Shirt,Safari,Tops,Men's Tops,Retired,3800.0,3800.0,0,0,15.0,2,17
S0223180,Safari Mali Bishop Sleeve Shirt Dress,Safari,Dresses,Knee Length Dresses,Retired,4950.0,3500.0,0,13.0,0,4,17
V0624025,Vivo Kitenge Strappy Tie Back Top,Vivo,Tops,Loose Tops,Retired,2900.0,2900.0,0,10.0,2,4,16
