Odoo ID,Odoo Link,Product Name,Style Name,Style Number,Status,Fabric Barcode,Fabric Plain/Print,Fabric Source Country,Fabric Source City,Fabric Structure,Fabric Category,Fabric Sub-Category,Fabric Primary Color,Fabric Width (m),Fabric GSM,Supplier Fabric Code,Supplier Fabric Colour Code
342854,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342854,Vivo Everyday Sleeveless Waterfall in Jersey - Dark Olive Green,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
342855,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342855,Vivo Everyday Sleeveless Waterfall in Jersey - Dark Rust,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
342856,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342856,Vivo Everyday Sleeveless Waterfall in Jersey - Dark Tan,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
305171,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305171,Vivo Everyday Sleeveless Waterfall in Jersey - Fuschia,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
239524,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=239524,Vivo Everyday Sleeveless Waterfall in Jersey - Hunters Green,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
246985,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246985,Vivo Everyday Sleeveless Waterfall in Jersey - Light Olive,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
342857,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342857,Vivo Everyday Sleeveless Waterfall in Jersey - Maroon,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
246986,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246986,Vivo Everyday Sleeveless Waterfall in Jersey - Mustard,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
342858,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=342858,Vivo Everyday Sleeveless Waterfall in Jersey - Navy Blue,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
305088,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305088,Vivo Everyday Sleeveless Waterfall in Jersey - Off White,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
305090,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=305090,Vivo Everyday Sleeveless Waterfall in Jersey - Orange,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
246987,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=246987,Vivo Everyday Sleeveless Waterfall in Jersey - Rust,Vivo Everyday Sleeveless Jersey Waterfall,V1119113,Retired,,,,,,,,,,,,
