id,name,active,default_code,barcode,categ_id,product_variant_count,x_vivo_attr_18,x_style_number_text,x_studio_style_name_gi,x_vivo_attr_16,x_style_name_text,x_vivo_attr_97,x_vivo_attr_99,x_colour_way_sku_text,x_vivo_attr_112,x_studio_fabric_ref,x_studio_brand,x_vivo_attr_22,x_studio_categories,x_vivo_categories,x_studio_fab_100,x_vivo_attr_100,x_studio_fab_101,x_vivo_attr_101,x_studio_fab_102,x_vivo_attr_102,x_studio_fab_103,x_vivo_attr_103,x_studio_fab_124,x_vivo_attr_124,x_studio_fab_125,x_vivo_attr_125,x_studio_fab_25,x_vivo_attr_25,x_studio_fab_38,x_vivo_attr_38,x_studio_fab_43,x_vivo_attr_43,x_studio_fab_48,x_vivo_attr_48,x_vivo_duplicate_key,x_vivo_duplicate_cleanup_state
88374,Safari Lira Drawstring Knee Length Dress - Black + Bana Print,True,,,17||01. Finished Goods Inventory,4,21775||S1123101,S1123101,14475||Safari Lira Drawstring Knee Length Dress,14475||Safari Lira Drawstring Knee Length Dress,Safari Lira Drawstring Knee Length Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
88380,Safari Lira Drawstring Knee Length Dress - Black + Tafo Print,True,,,17||01. Finished Goods Inventory,3,21775||S1123101,S1123101,14475||Safari Lira Drawstring Knee Length Dress,14475||Safari Lira Drawstring Knee Length Dress,Safari Lira Drawstring Knee Length Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304738,Safari Lira Drawstring Knee Length Dress - White + Elmi Print,True,,,17||01. Finished Goods Inventory,2,21775||S1123101,S1123101,14475||Safari Lira Drawstring Knee Length Dress,14475||Safari Lira Drawstring Knee Length Dress,Safari Lira Drawstring Knee Length Dress,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
88389,Safari Lira Drawstring Knee Length Dress MG - Taupe + Purple / White Print,True,,,17||01. Finished Goods Inventory,7,21775||S1123101,S1123101,14475||Safari Lira Drawstring Knee Length Dress,14475||Safari Lira Drawstring Knee Length Dress,Safari Lira Drawstring Knee Length Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
88390,Safari Lira Drawstring Knee Length Dress MG - White + Blue / White Print,True,,,17||01. Finished Goods Inventory,5,21775||S1123101,S1123101,14475||Safari Lira Drawstring Knee Length Dress,14475||Safari Lira Drawstring Knee Length Dress,Safari Lira Drawstring Knee Length Dress,59959||Retired,61038||Retired,,,,64||Safari,24992||Safari by Vivo,122||Dresses,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
343170,Safari Lira Drawstring Knee Length Dress- Purple (Sample),True,,,20||8. Work In Progess (WIP),1,,S1123101,,,,59958||Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304739,Safari Lira Drop Shoulder Dress - Lime,True,S1123112LIML,60029901,17||01. Finished Goods Inventory,1,21776||S1123112,S1123112,14477||Safari Lira Drop Shoulder Dress,14477||Safari Lira Drop Shoulder Dress,Safari Lira Drop Shoulder Dress,59959||Retired,61038||Retired,S1123112LIM,62471||S1123112LIM,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304740,Safari Lira Drop Shoulder Dress - Orange,True,S1123112ORA1X,60033157,17||01. Finished Goods Inventory,1,21776||S1123112,S1123112,14477||Safari Lira Drop Shoulder Dress,14477||Safari Lira Drop Shoulder Dress,Safari Lira Drop Shoulder Dress,59959||Retired,61038||Retired,S1123112ORA,62472||S1123112ORA,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304741,Safari Lira Front Panelled Shirt Dress - Black / Pink,True,S1123111BLA/PIN1X,60041518,17||01. Finished Goods Inventory,1,21777||S1123111,S1123111,14478||Safari Lira Front Panelled Shirt Dress,14478||Safari Lira Front Panelled Shirt Dress,Safari Lira Front Panelled Shirt Dress,59959||Retired,61038||Retired,S1123111BLA/PIN,62473||S1123111BLA/PIN,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304742,Safari Lira Front Panelled Shirt Dress - Black / White,True,,,17||01. Finished Goods Inventory,2,21777||S1123111,S1123111,14478||Safari Lira Front Panelled Shirt Dress,14478||Safari Lira Front Panelled Shirt Dress,Safari Lira Front Panelled Shirt Dress,59959||Retired,61038||Retired,,,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
304743,Safari Lira Front Panelled Shirt Dress - Navy / Blue,True,S1123111NAV/BLU1X,60041528,17||01. Finished Goods Inventory,1,21777||S1123111,S1123111,14478||Safari Lira Front Panelled Shirt Dress,14478||Safari Lira Front Panelled Shirt Dress,Safari Lira Front Panelled Shirt Dress,59959||Retired,61038||Retired,S1123111NAV/BLU,62474||S1123111NAV/BLU,,,24992||Safari by Vivo,,7831||Dresses,,,,,,,,,,,,,,,,,,,,,,
