barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
60063749,V0224127RED1X,Vivo Laika Cap Sleeve Shift Dress In Crepe - Red,Vivo Laika Cap Sleeve Shift Dress,V0224127,Knee Length Dresses,Dresses,4500.0,2.0,2,0,""
60067034,V0326018BLAM,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon - Black,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon,V0326018,Maxi Dresses,Dresses,6900.0,2.0,3,0,""
,V0924104LGRYL,Vivo Pelia Round Neck Dress - Light Grey - LIGHT GREY / V0924104 / L,Vivo Pelia Round Neck Dress,V0924104,Knee Length Dresses,Dresses,0.0,2.0,1,0,""
60067025,V0326018NAVL,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon - Navy,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon,V0326018,Maxi Dresses,Dresses,6900.0,2.0,3,0,""
60057246,V0725029REDM,Vivo Ari Sleeveless Straight Maxi Slit Dress - Red,Vivo Ari Sleeveless Straight Maxi Slit Dress,V0725029,Maxi Dresses,Dresses,4900.0,2.0,1,0,""
60067018,V0326018REDS,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon - Red,Vivo Hadiya 3/4 Sleeve Maxi Dress in Chiffon,V0326018,Maxi Dresses,Dresses,6900.0,2.0,2,0,""
,V1020056DTEA2X,Vivo Waridi Sleeveless Overcoat - Dark Teal - TEAL / V1020056 / 2X,Vivo Waridi Sleeveless Overcoat,V1020056,Jackets & Coats,Outerwear,0.0,2.0,1,0,""
60065255,V0920021OLI2X,Vivo Basic Tolani Dress in Jersey - Olive,Vivo Basic Tolani Jersey Dress,V0920021,Knee Length Dresses,Dresses,4900.0,2.0,1,0,""
60065240,V0920021MUL2X,Vivo Basic Tolani Dress in Jersey - Mulberry,Vivo Basic Tolani Jersey Dress,V0920021,Knee Length Dresses,Dresses,4900.0,2.0,1,0,""
,V0326021ORA1X,Vivo Square Neck Camisole in Satin - Orange,Vivo Square Neck Camisole in Satin,V0326021,Fitted Tops,Tops,0.0,2.0,4,0,""
60061430,V1025012ORA1X/2X,Vivo Anavi Cascade Waterfall - Orange,Vivo Anavi Cascade Waterfall,V1025012,Waterfalls & Kimonos,Outerwear,4500.0,2.0,1,0,""
60065794,REO226001BRWM,Vivo Drop Shoulder Shirt in Organza - Brown,Vivo Drop Shoulder Shirt in Organza,REO2260,Fitted Tops,Tops,3900.0,2.0,1,0,""
60065241,V0920021FUSS,Vivo Basic Tolani Dress in Jersey - Fuschia,Vivo Basic Tolani Jersey Dress,V0920021,Knee Length Dresses,Dresses,4900.0,2.0,1,0,""
60065800,REO226001ORAL,Vivo Drop Shoulder Shirt in Organza - Orange,Vivo Drop Shoulder Shirt in Organza,REO2260,Fitted Tops,Tops,3900.0,2.0,1,0,""
60061433,V1025012DMU1X/2X,Vivo Anavi Cascade Waterfall - Dark Mustard,Vivo Anavi Cascade Waterfall,V1025012,Waterfalls & Kimonos,Outerwear,4500.0,2.0,1,0,""
,V0425003DTAU1X/2X,Vivo Rema Waterfall - Dark Taupe - DARK TAUPE / V0425003 / 1X/2X,Vivo Rema Waterfall,V0425003,Waterfalls & Kimonos,Outerwear,0.0,2.0,1,0,""
,V0923060GREYXXS,Vivo X This Is Essential  Short Sleeve Bodysuit - Grey - GREY / V0923060 / XXS,Vivo X This Is Essential  Short Sleeve Bodysuit,V0923060,Bodysuits,Tops,0.0,2.0,2,0,""
60067232,V0326030OFFS/M,Vivo Tie Dolman Kimono in Textured Crepe - Off White,Vivo Tie Dolman Kimono in Textured Crepe,V0326030,Waterfalls & Kimonos,Outerwear,3900.0,2.0,5,0,""
60065244,V0920021FUS1X,Vivo Basic Tolani Dress in Jersey - Fuschia,Vivo Basic Tolani Jersey Dress,V0920021,Knee Length Dresses,Dresses,4900.0,2.0,2,0,""
60040855,S0522015LBLUM,Safari Kaya Long Sleeve Collar Shirt - Light Blue,Safari Kaya Long Sleeve Collar Shirt,S0522015,Loose Tops,Tops,1600.0,2.0,3,0,""
60066377,V0326031NAV1X,Vivo Pencil Skirt in Ponte - Navy,Vivo Pencil Skirt in Ponte,V0326031,Knee Length Skirts,Skirts,2900.0,2.0,2,0,""
60066375,V0326031NAVM,Vivo Pencil Skirt in Ponte - Navy,Vivo Pencil Skirt in Ponte,V0326031,Knee Length Skirts,Skirts,2900.0,2.0,2,0,""
60066374,V0326031NAVS,Vivo Pencil Skirt in Ponte - Navy,Vivo Pencil Skirt in Ponte,V0326031,Knee Length Skirts,Skirts,2900.0,2.0,2,0,""
60061171,S0925061NBLUL,Safari By Vivo Mens Cotton Pants - Navy Blue,Safari By Vivo Mens Cotton Pants,S0925061,Full Length Pants,Bottoms,4800.0,2.0,1,0,""
60068240,V0326037DBLU1X,Vivo Panelled Waist Midi Dress in Ponte - Denim Blue,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,2,0,""
60067818,V0326037NAV1X,Vivo Panelled Waist Midi Dress in Ponte - Navy,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,2,0,""
60062958,V0121168OLIM,Vivo Basic Cap Sleeve Knee Length Dress - Olive,Vivo Basic Cap Sleeve Knee Length Tent Dress,V0121168,Knee Length Dresses,Dresses,5500.0,2.0,1,0,""
60056127,V0623013PR5L,Vivo Zahari Sweatheart Neck Jumpsuit - Taupe / White Print,Vivo Zahari Sweatheart Neck Jumpsuit,V0623013,Jumpsuits & Playsuits,Bottoms,2450.0,2.0,1,0,""
60067822,V0326037ORAL,Vivo Panelled Waist Midi Dress in Ponte - Orange,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,3,0,""
60031235,S0124007PRT1M,Safari Haya Drop Shoulder Side Tie Top - Red Koi Print,Safari Haya Drop Shoulder Side Tie Top,S0124007,Loose Tops,Tops,1400.0,2.0,2,0,""
60067833,V0326037TAU1X,Vivo Panelled Waist Midi Dress in Ponte - Taupe,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,2,0,""
60067834,V0326037TAU2X,Vivo Panelled Waist Midi Dress in Ponte - Taupe,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,1,0,""
60051940,S1123101PR8XS,Safari Lira Drawstring Knee Length Dress - White + Elmi Print,Safari Lira Drawstring Knee Length Dress,S1123101,Knee Length Dresses,Dresses,6250.0,2.0,1,0,""
60067831,V0326037TAUM,Vivo Panelled Waist Midi Dress in Ponte - Taupe,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,3,0,""
60067830,V0326037TAUS,Vivo Panelled Waist Midi Dress in Ponte - Taupe,Vivo Panelled Waist Midi Dress in Ponte,V0326037,Midi & Capri Dresses,Dresses,5900.0,2.0,2,0,""
