Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Junction/1669,26870,17500,0,0,17500
Junction/1670,26881,2500,0,0,2500
Junction/1670 REFUND,26926,2500,0,2500,0
Junction/1671,26883,9700,0,0,9700
Junction/1672,26886,6500,0,0,6500
Junction/1673,26897,17100,0,0,17100
Junction/1674,26916,26800,0,0,26800
Junction/1675,26922,5500,0,0,5500
Junction/1676,26931,4500,0,0,4500
Junction/1677,26940,14800,0,0,14800
Junction/1678,26949,60200,0,0,60200
Junction/1679,26958,2900,0,0,2900
Junction/1680,26959,16300,0,0,16300
Junction/1681,26964,3500,0,0,3500
Junction/1682,26980,10000,0,0,10000
Junction/1683,26983,4950,0,0,4950
Junction/1684,26988,14900,0,0,14900
Junction/1685,26991,9600,0,0,9600
Junction/1686,26994,4950,0,0,4950
Junction/1687,27003,6800,0,0,6800
Junction/1688,27007,3900,0,0,3900
Junction/1689,27015,11800,0,0,11800
Junction/1690,27035,16500,0,0,16500
Junction/1690 REFUND,27321,5500,0,5500,0
Junction/1691,27036,5900,0,0,5900
Junction/1692,27045,18000,0,0,18000
Junction/1693,27049,4950,0,0,4950
Junction/1694,27078,2500,0,0,2500
Junction/1695,27146,4700,0,0,4700
Junction/1696,27147,3500,0,0,3500
Junction/1697,27157,16500,0,0,16500
Junction/1698,27164,17500,0,0,17500
Junction/1699,27178,30600,0,0,30600
Junction/1700,27191,4500,0,0,4500
Junction/1701,27192,4900,0,0,4900
Junction/1702,27197,17800,0,0,17800
Junction/1707,27277,13400,0,0,13400
Junction/1708,27308,3900,0,0,3900
Junction/1709,27309,22300,0,0,22300
Junction/1710,27328,6400,0,0,6400
