brand,missing,product_name
"Vivo","both","Vivo Knee Length Skirts - FS 1"
"Vivo","both","Vivo Knee length Dress - FS 2"
"Vivo","both","Vivo Knee length Dress - RFS 7"
"Vivo","both","Vivo Laika 3/4 Sleeve Tent Dress  - FS"
"Vivo","both","Vivo Laika 3/4 Sleeve Tent Dress In Crepe  - FS"
"Vivo","both","Vivo Laika Bishop Sleeve Shift Dress in Crepe  - FS"
"Vivo","both","Vivo Lalani Lounge Pants  - FS"
"Vivo","both","Vivo Lani Maxi Dress  - FS"
"Vivo","both","Vivo Lani Maxi Dress  - FS"
"Vivo","both","Vivo Lani Maxi Dress In Satin  - FS"
"Vivo","both","Vivo Lani Maxi Top  - FS"
"Vivo","both","Vivo Lani Maxi Top  - FS"
"Vivo","both","Vivo Leggings - SAMPLE 1"
"Vivo","both","Vivo Leila Cap Sleeve Tent Maxi Dress  - FS"
"Vivo","both","Vivo Lindi High Low Dress In Ponte  - FS"
"Vivo","both","Vivo Liora Asymmetrical Kaftan Top in Satin  - FS"
"Vivo","both","Vivo Liora Asymmetrical Kaftan Top in Satin  - FS"
"Vivo","both","Vivo Liora Drawstring Kimono Sleeve Top  - FS"
"Vivo","both","Vivo Liora Drawstring Midi Dress  - FS"
"Vivo","both","Vivo Liora Drawstring Pants  - FS"
"Vivo","both","Vivo Liora Drawstring Pants In Satin  - FS"
"Vivo","both","Vivo Liora Kaftan Top  - FS"
"Vivo","both","Vivo Liora Kaftan Tunic Top  - FS"
"Vivo","both","Vivo Liora Maxi Kimono  - FS"
"Vivo","both","Vivo Liora Multiway Top in Satin  - FS"
"Vivo","both","Vivo Liora Scalloped Maxi Top  - FS"
"Vivo","both","Vivo Liora Scalloped Maxi Top in Chiffon  - FS"
"Vivo","both","Vivo Liora Scooped Neck Tank Top in Crepe  - FS"
"Vivo","both","Vivo Liora Side Drawstring Kaftan Dress in Satin  - FS"
"Vivo","both","Vivo Liora Sleeveless Drawstring Top  - FS"
"Vivo","both","Vivo Liora Sleeveless Drawstring Top In Satin  - FS"
"Vivo","both","Vivo Liora Tiered Maxi Skirt in Crepe  - FS"
"Vivo","both","Vivo Liora Wide Leg Pants  - FS"
"Vivo","both","Vivo Long Sleeve Waterfall in Sweater  - FS"
"Vivo","both","Vivo Long Sleeve Waterfall in Sweater - Light Grey OLD"
"Vivo","both","Vivo Long Sleeve Waterfall in Sweater - Mustard OLD"
"Vivo","both","Vivo Loose Maxi Top - Sample 1"
"Vivo","both","Vivo Loose Top - Sample 3"
"Vivo","both","Vivo Loose Top - Sample 5"
"Vivo","both","Vivo Loose Tops - FS 1"
"Vivo","both","Vivo Loose Tops - FS 7"
"Vivo","both","Vivo Lulu 3/4 Sleeve Maxi Kaftan  - FS"
"Vivo","both","Vivo Lulu Bubble Sleeve Top  - FS"
"Vivo","both","Vivo Lulu Contrast Stitch Tent Dress in Cotton  - FS"
"Vivo","both","Vivo Lulu Denim Flared Pants  - FS"
"Vivo","both","Vivo Lulu Drawstring Top In Cotton  - FS"
"Vivo","both","Vivo MSD 2"
"Vivo","both","Vivo MSD 3"
"Vivo","both","Vivo MSD 4"
"Vivo","both","Vivo MSD 5"
"Vivo","both","Vivo MSD 7"
"Vivo","both","Vivo Maisha 3/4 Sleeve Maxi Dress  - FS"
"Vivo","both","Vivo Maisha Drop Shoulder Maxi Dress In Rayon  - FS"
"Vivo","both","Vivo Maisha Long Sleeve High Low Kimono  - FS"
"Vivo","both","Vivo Maisha Straight Leg Pants in Crepe  - FS"
"Vivo","both","Vivo Maisha Straight Leg Pants in Crepe - FS"
"Vivo","both","Vivo Maisha Strappy Cover Up Jumpsuit In Rayon  - FS"
"Vivo","both","Vivo Maisha Wide High Low Top  - FS"
"Vivo","both","Vivo Maxi Dress - FS 7"
"Vivo","both","Vivo Maxi Dress - SAMPLE1 B."
"Vivo","both","Vivo Maxi Dress - SAMPLE3"
"Vivo","both","Vivo Maxi Dress in Stretch Rib  - FS"
"Vivo","both","Vivo Maxi Kaftan in Satin  - FS"
"Vivo","both","Vivo Maxi Kimono in Chiffon  - FS"
"Vivo","both","Vivo Maxi Waterfall/ Kimono - Sample 1"
"Vivo","both","Vivo Merika Knee Length Wrap Dress  - FS"
"Vivo","both","Vivo Merika Satin Wrap Top  - FS"
"Vivo","both","Vivo Merika Satin Wrap Top  - FS"
"Vivo","both","Vivo Midi Bodycon in Stretch Rib  - FS"
"Vivo","both","Vivo Mini Butterfly Sweater  - FS"
"Vivo","both","Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top  - FS"
"Vivo","both","Vivo Multiway Cover Up in Chiffon  - FS"
"Vivo","both","Vivo Multiway Poncho in Sweater  - FS"
