product_name,units_sold
Vivo Sierra Maxi Chiffon Dress - Chocolate,141
Vivo Chela Pants in Jersey - Black,141
Vivo Chari Shift Dress - White / Black Riah Print,140
Vivo Basic Round Neck Maxi Dress In Crepe - Rust,140
Vivo Sierra Maxi Chiffon Dress - Rust,140
Vivo Wrap Shawl - Dark Grey,140
Vivo Basic Sienna Waterfall - Sea Green,140
Vivo Everyday Long Sleeve Top In Jersey - White,140
Vivo Essi Scalloped Top - White / Dark Mustard Print,139
Vivo Kaisa Short Sleeve Maxi Bodycon In Polyester Stretch - Maroon,139
Vivo Kani Wide Leg Pants - Maroon,139
Vivo Kaisa Short Sleeve Maxi Bodycon In Polyester Stretch - Mustard,139
Vivo Asha Drop Shoulder Maxi Shirt Dress - Beige / Black Print,139
Vivo Iyana Knee Length Bubble Dress - Brown / Chocolate Iya Print,138
Vivo Basic Sleeveless Jersey Waterfall - Off White,138
Vivo Zola V Neck Maxi Dress in Crepe - White / Blue Kai Print,138
Vivo Liora Scooped Neck Tank Top in Crepe - Dark Green / Lime Yani Print,137
Vivo Basic Pencil Skirt - Navy Blue,137
Vivo Basic Tulip Sweater - Mustard,137
Vivo Essi Wide Leg Pants - Dark Mustard,137
Vivo Nasinka A-Line Knee Length Dress in Crepe - Navy,137
Vivo Kani Wide Leg Pants in Crepe - Hunters,136
Vivo Chela Pants in Jersey - Chocolate,136
Vivo Asymmetrical Dolman Dress in Satin - Grey / Rust Arah Print,136
Vivo Sanali Loose Top - Purple / Olive,136
Vivo Mandla Tent Dress - Dark Hunters,136
Vivo Ayla Maxi Kaftan Dress - Orange / Black Fani Print,136
Vivo J.O V-Neck Sheath Dress - Burgundy,136
Safari Long Sleeve Waterfall - Black,136
Vivo Dalia Cap Sleeve Gathered Tent Dress - White / Mustard Nasi Print,136
Vivo Kani Wide Leg Pants - Dusty Pink / Navy Tamra Print,135
Vivo Basic Cap Sleeve Chiffon Maxi Dress - Dusty Green / Purple Sinka Print,135
Vivo Merika Satin Wrap Top - Brown / Black Animal Print,135
Vivo Alani High Low Dress - Black Stripes Print,135
Vivo Wila Jumpsuit - Black,135
Vivo Maxi Dress - Rfs 4,135
Vivo Niari Shorts - Light Olive / White Stripes,135
Vivo Samira Midi Dress in Textured Satin - Black,135
Vivo Yumi Maxi Shirt Dress - Brown / Beige Print,135
Vivo Basic Escape A-line Dress - Burgundy,135
Vivo Niari Pleated Dress in Crepe - Red,135
