Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0224240,Vivo Must Have Shorts,Vivo,Bottoms,9,75,247128
V1023086,Vivo Sanyu Pleated Pants,Vivo,Bottoms,8,132,245819
V0725046,Vivo Alma Skirt & Top Set,Vivo,Two-Piece Sets,13,100,244024
V0325071,Vivo Safa Slit Side Top,Vivo,Tops,12,72,242904
V1122162,Vivo Fahari Cowl Drape Bodycon,Vivo,Dresses,4,72,241432
V0422077,Vivo Basic Sienna Jersey Top,Vivo,Tops,6,118,239881
V0125013,Vivo Seli V-Neck Midi Dress,Vivo,Dresses,4,47,233595
V1122145,Vivo Fahari 3/4 Sleeve Shirred Shirt,Vivo,Tops,4,70,232690
V0525079,Vivo Maisha Top & Pant Set,Vivo,Two-Piece Sets,5,43,231402
S1125033,Safari by Vivo Zehra Kitenge Shorts,Safari,Bottoms,40,82,229600
V0624076,Vivo Kala Maxi Dress,Vivo,Dresses,4,39,226375
S0623047,Safari Basic Shirt Tent Dress,Safari,Dresses,10,52,225280
V0325070,Vivo Safa Pallazo Pants,Vivo,Bottoms,12,70,225096
V0622062,Vivo Basic Cowl Jersey Top,Vivo,Tops,5,89,225077
V1122066,Vivo Ayana Cap Sleeve High Low Tent Dress,Vivo,Dresses,1,62,219716
V0823155,Vivo X This Is Essential Strappy Bodysuit,Vivo,Tops,13,98,218806
S0525005,Shiv & Shikie X Safari Faux Collar Printed Shirt,Third Party Brands,Tops,5,78,215682
S0424064,Safari Bush Drop Shoulder Long Sleeve Top,Safari,Tops,6,100,214748
V0719677,Vivo Basic Short Lily Waterfall,Vivo,Outerwear,2,62,213534
Z0325018,Zoya Vasha Track Pants With Pockets,Zoya,Bottoms,20,94,212644
V0724116,Vivo Wila Dolman Top,Vivo,Tops,2,62,212000
V0425056,Vivo Diella 3/4 Sleeve A-Line Dress,Vivo,Dresses,12,47,210150
S0624022,Safari Savannah Men's Drawstring Shorts (Regular),Safari,Bottoms,15,63,209526
V0725004,Vivo Alani Plaid Midi Dress,Vivo,Dresses,4,65,207185
S1024019,Safari Chui Jodhpur Pants,Safari,Bottoms,5,34,206540
Z1024057,Zoya X Metamorphisized 143 Cropped Bomber Jacket,Zoya,Outerwear,6,53,206190
S0325015,Safari Tawi Off-Shoulder Dress,Safari,Dresses,1,42,206086
V0125032,Vivo Yene Jumpsuit,Vivo,Bottoms,7,47,205269
V0621112,Vivo Extra Long May Jersey Waterfall,Vivo,Outerwear,4,55,203064
V1225012,Vivo Studio Mini Pencil Skirt in Ponte,Vivo,Skirts,9,69,201489
S0425036,Shiv & Shikie X Safari Drawstring Shorts,Third Party Brands,Bottoms,12,60,198588
Z1024053,Zoya X Metamorphisized 143 Oversized Bowling Shirt,Zoya,Tops,8,63,198414
V0524176,Vivo Zahari Shift Dress,Vivo,Dresses,8,48,198251
S0724125,Safari Savannah Men's Short Sleeve Shirt,Safari,Tops,8,40,198030
Z1024021,Zoya Aridi Cropped Jacket,Zoya,Outerwear,10,92,197162
Z0624001,Zoya Shani Kimono,Zoya,Outerwear,8,53,195652
V0122102,Vivo Faraji Side Slit Leisure Pants,Vivo,Bottoms,6,68,192219
V0425003,Vivo Rema Waterfall,Vivo,Outerwear,12,50,190185
S0424041,Safari Men's Kitenge Drawstring Shorts,Safari,Bottoms,36,68,189787
V0425048,Vivo Rema Drawstring Pants,Vivo,Bottoms,12,56,189450
S0224199,Safari Kamari Mini Skirt,Safari,Skirts,13,108,189425
V0324075,Vivo Azawi Cap Sleeve Panelled Dress,Vivo,,8,62,188737
V0324021,Vivo X This Is Essential Scooped Neck Bralette,Vivo,Tops,13,126,188000
Z0724101,Zoya Basic Halter Tie Top,Zoya,Tops,25,281,183715
S0424062,Safari Spaghetti Tank Top,Safari,Tops,7,131,183250
V0322181,Vivo Nalia Long Sleeve High Low Top,Vivo,Tops,8,143,183188
V0525074,Vivo Maisha Wide Leg Pants,Vivo,Bottoms,8,53,182954
S0322138,Safari Tawi Flounce Tent Dress,Safari,Dresses,3,40,182440
V0423030,Vivo Imara Puff Sleeve Sheath Dress,Vivo,Dresses,4,81,181890
Z0225006,Zoya Vasha Midriff Jacket,Zoya,Outerwear,18,123,181792
V0722033,Vivo Basic Julia 3/4 Sleeve Back Pleat Maxi Dress,Vivo,Dresses,3,35,181564
V0621001,Vivo J.O V-Neck Sheath Dress,Vivo,Dresses,10,50,181243
V0424116,Vivo X This Is Essential Raceback Bralette,Vivo,Tops,14,124,181104
V0625040,Vivo Alani Boat Neck Midi Dress,Vivo,Dresses,3,55,178150
V0819036,Vivo Basic Bodycon,Vivo,Dresses,5,45,176429
V1019045,Vivo Basic Liv Chiffon Top,Vivo,Tops,2,95,176085
V0723042,Vivo Val 3/4 Sleeve Top,Vivo,Tops,22,150,175974
V1222304,Vivo Dali 3/4 Cut Out Sleeve Maxi Dress,Vivo,Dresses,1,30,175625
V0525078,Vivo Samira Wide Satin Kimono,Vivo,Outerwear,1,50,175000
V0722039,Vivo Wingu Puff Sleeve Maxi Dress,Vivo,Dresses,6,52,174113
V0524175,Vivo Zahari Puff Sleeve Tent Dress,Vivo,Dresses,8,35,173842
V0525061,Vivo Alani Boat Neck Maxi Dress,Vivo,Dresses,4,37,173641
S1023063,Safari Zene Tiered Above Knee Dress,Safari,Dresses,3,31,172050
S0724130,Safari Njano Tie Front Wide Top,Safari,Tops,4,38,170070
S1124144,Safari Sizani 2 Way Wrap Top,Safari,Tops,11,57,169449
V1024043,Vivo Beali Two Way Wrap Top,Vivo,Tops,13,75,168464
S0724137,Safari Njano Front Drawstring Tunic Top,Safari,Tops,2,36,168291
V0124033,Vivo Tande Front Drape Skirt,Vivo,Skirts,8,97,166804
V0325044,Vivo Basic Strappy Cowl Top,Vivo,Tops,6,75,166347
S0325033,Safari Tiwa Straight Leg Pants,Safari,Bottoms,10,41,165818
S0824028,Safari Njano Men's Easy Fit Pants,Safari,Bottoms,8,30,164535
V0824019,Vivo Wila Cowl Poncho,Vivo,,1,33,163643
V0719553,Vivo Mock Neck Tent Maxi Dress,Vivo,Dresses,4,35,160070
S0724016,Safari Savannah Men's Long Sleeve Shirt,Safari,Tops,4,34,158091
S1024007,Safari Chui Cropped Jacket,Safari,Outerwear,5,26,155951
S0424145,Safari Men's Long Sleeve Shirt,Safari,Tops,8,67,155815
VE0013B,Vivo Essentials Strappy Maxi Dress,Vivo,Dresses,3,36,155000
V0224209,Vivo Safiya Dolman Top,Vivo,Tops,9,88,154734
